id_zaliczenie,id_przed,nr_albumu,nr_wykl,ocena,termin,Data
1,1,1,1,4,1,06.01.2023
2,1,2,1,4,1,06.01.2023
3,1,3,1,4,1,06.01.2023
4,1,4,1,4,1,06.01.2023
5,1,5,1,5,1,06.01.2023
6,1,6,1,3,1,06.01.2023
7,1,7,1,5,1,06.01.2023
8,1,8,1,4,1,06.01.2023
9,1,9,1,4,1,06.01.2023
10,1,10,1,4,1,06.01.2023
11,1,11,1,4,1,06.01.2023
12,1,12,1,5,1,06.01.2023
13,1,13,1,5,1,06.01.2023
14,1,14,1,5,1,06.01.2023
15,1,15,1,3,1,06.01.2023
16,1,16,1,5,1,06.01.2023
17,1,17,1,4,1,06.01.2023
18,1,18,1,3,1,06.01.2023
19,1,19,1,3,1,06.01.2023
20,1,20,1,4,1,06.01.2023
21,1,21,1,5,1,06.01.2023
22,1,22,1,3,1,06.01.2023
23,1,23,1,4,1,06.01.2023
24,1,24,1,4,1,06.01.2023
25,1,25,1,5,1,06.01.2023
26,1,26,1,3,1,06.01.2023
27,1,27,1,5,1,06.01.2023
28,1,28,1,4,1,06.01.2023
29,1,29,1,4,1,06.01.2023
30,1,30,1,4,1,06.01.2023
31,1,31,1,4,1,06.01.2023
32,1,32,1,5,1,06.01.2023
33,1,33,1,5,1,06.01.2023
34,1,34,1,3,1,06.01.2023
35,1,35,1,5,1,06.01.2023
36,1,36,1,3,1,06.01.2023
37,1,37,1,4,1,06.01.2023
38,1,38,1,3,1,06.01.2023
39,1,39,1,4,1,06.01.2023
40,1,40,1,4,1,06.01.2023
41,1,41,1,4,1,06.01.2023
42,1,42,1,5,1,06.01.2023
43,1,43,1,5,1,06.01.2023
44,1,44,1,5,1,06.01.2023
45,1,45,1,3,1,06.01.2023
46,1,46,1,5,1,06.01.2023
47,1,47,1,5,1,06.01.2023
48,1,48,1,5,1,06.01.2023
49,1,49,1,5,1,06.01.2023
50,1,50,1,5,1,06.01.2023
51,1,51,1,4,1,06.01.2023
52,1,52,1,5,1,06.01.2023
53,1,53,1,4,1,06.01.2023
54,1,54,1,4,1,06.01.2023
55,1,55,1,4,1,06.01.2023
56,1,56,1,3,1,06.01.2023
57,1,57,1,4,1,06.01.2023
58,1,58,1,5,1,06.01.2023
59,1,59,1,3,1,06.01.2023
60,1,60,1,5,1,06.01.2023
61,1,61,1,3,1,06.01.2023
62,1,62,1,5,1,06.01.2023
63,1,63,1,4,1,06.01.2023
64,1,64,1,3,1,06.01.2023
65,1,65,1,3,1,06.01.2023
66,1,66,1,4,1,06.01.2023
67,1,67,1,4,1,06.01.2023
68,1,68,1,4,1,06.01.2023
69,1,69,1,4,1,06.01.2023
70,1,70,1,5,1,06.01.2023
71,1,71,1,3,1,06.01.2023
72,1,72,1,4,1,06.01.2023
73,1,73,1,3,1,06.01.2023
74,1,74,1,4,1,06.01.2023
75,1,75,1,5,1,06.01.2023
76,1,76,1,3,1,06.01.2023
77,1,77,1,3,1,06.01.2023
78,1,78,1,4,1,06.01.2023
79,1,79,1,4,1,06.01.2023
80,1,80,1,5,1,06.01.2023
81,1,81,1,4,1,06.01.2023
82,1,82,1,4,1,06.01.2023
83,1,83,1,5,1,06.01.2023
84,1,84,1,5,1,06.01.2023
85,1,85,1,4,1,06.01.2023
86,1,86,1,4,1,06.01.2023
87,1,87,1,4,1,06.01.2023
88,1,88,1,3,1,06.01.2023
89,1,89,1,3,1,06.01.2023
90,1,90,1,3,1,06.01.2023
91,1,91,1,4,1,06.01.2023
92,1,92,1,4,1,06.01.2023
93,1,93,1,4,1,06.01.2023
94,1,94,1,5,1,06.01.2023
95,1,95,1,5,1,06.01.2023
96,1,96,1,3,1,06.01.2023
97,1,97,1,4,1,06.01.2023
98,1,98,1,4,1,06.01.2023
99,1,99,1,5,1,06.01.2023
100,1,100,1,3,1,06.01.2023
101,1,101,1,5,1,06.01.2023
102,1,102,1,3,1,06.01.2023
103,1,103,1,4,1,06.01.2023
104,1,104,1,3,1,06.01.2023
